LPI Rank,Rd.Pick,Player,Pos (Rank),Team,Depth,LPI Proj PPG,Season VORP,Mkt ADP,Diff vs ADP,Draft Grade at ADP
118,10.10,Chig Okonkwo,TE19,WAS,Starter,5.56,-12.1,150.0,32.0,87
119,10.11,Jonathon Brooks,RB38,CAR,RB2,4.28,-58.7,97.3,-21.7,81
120,10.12,Sam Darnold,QB23,SEA,Starter,12.56,-19.2,151.3,31.3,86
121,11.01,Alvin Kamara,RB39,NO,RB2,7.68,-4.3,152.3,31.3,92
122,11.02,Juwan Johnson,TE20,NO,Starter,5.43,-13.6,152.3,30.3,87
123,11.03,Kenny Gainwell,RB40,TB,Starter,6.55,-22.4,107.3,-15.7,86
124,11.04,C.J. Stroud,QB24,HOU,Starter,12.48,-19.7,160.0,36.0,86
125,11.05,Jayden Higgins,WR41,HOU,WR2,7.2,-23.3,160.3,35.3,89
126,11.06,Michael Pittman Jr.,WR42,PIT,WR2,6.36,-35.6,107.3,-18.7,84
127,11.07,Jakobi Meyers,WR43,JAX,WR2,7.07,-25.2,112.0,-15.0,86
128,11.08,Quentin Johnston,WR44,LAC,WR2,7.01,-26.0,109.7,-18.3,86
129,11.09,Rachaad White,RB41,WAS,RB2,6.32,-26.1,111.3,-17.7,87
130,11.10,Cam Ward,QB25,TEN,Starter,12.43,-20.1,165.3,35.3,86
131,11.11,Bryce Young,QB26,CAR,Starter,12.4,-20.3,165.7,34.7,86
132,11.12,Jordan Addison,WR45,MIN,WR2,6.99,-26.3,111.0,-21.0,86
133,12.01,Jacory Croskey-Merritt,RB42,WAS,Starter,6.07,-30.1,110.7,-22.3,86
134,12.02,Brian Robinson Jr.,RB43,ATL,Starter,6.24,-27.4,143.0,9.0,89
135,12.03,Pat Freiermuth,TE21,PIT,Starter,4.14,-29.2,171.5,36.5,87
136,12.04,T.J. Hockenson,TE22,MIN,Starter,7.72,13.8,171.7,35.7,94
137,12.05,Jordan Mason,RB44,MIN,RB2,4.74,-51.4,114.7,-22.3,84
138,12.06,Dalton Schultz,TE23,HOU,Starter,4.75,-21.8,172.3,34.3,87
139,12.07,Jayden Reed,WR46,GB,WR2,6.21,-37.8,116.7,-22.3,85
140,12.08,Daniel Jones,QB27,IND,Starter,12.35,-20.7,174.7,34.7,86
141,12.09,Wan'Dale Robinson,WR47,TEN,WR2,4.64,-60.9,117.0,-24.0,81
142,12.10,AJ Barner,TE24,SEA,Starter,4.55,-24.2,175.0,33.0,87
143,12.11,Tyrone Tracy Jr.,RB45,NYG,RB2,5.95,-32.0,143.3,0.3,88
144,12.12,Jerry Jeudy,WR48,CLE,Starter,11.1,34.1,178.0,34.0,99
145,13.01,Josh Downs,WR49,IND,WR2,6.26,-37.1,119.7,-25.3,85
146,13.02,Xavier Worthy,WR50,KC,WR2,6.38,-35.3,128.7,-17.3,86
147,13.03,Tank Bigsby,RB46,PHI,RB2,5.75,-35.2,181.0,34.0,88
148,13.04,Khalil Shakir,WR51,BUF,WR2,6.31,-36.3,157.7,9.7,87
149,13.05,KC Concepcion,WR52,CLE,Starter,6.27,-37.0,143.7,-5.3,86
150,13.06,Geno Smith,QB28,NYJ,Starter,12.1,-22.5,184.0,34.0,86
151,13.07,Braelon Allen,RB47,NYJ,RB2,5.84,-33.8,185.5,34.5,88
152,13.08,Romeo Doubs,WR53,NE,Starter,6.2,-38.0,142.0,-10.0,86
153,13.09,Gunnar Helm,TE25,TEN,Starter,3.94,-31.6,187.5,34.5,87
154,13.10,James Conner,RB48,ARI,IR/Reserve,4.96,-47.8,175.0,21.0,86
155,13.11,Tyjae Spears,RB49,TEN,RB2,4.85,-49.6,160.3,5.3,86
156,13.12,Cade Otton,TE26,TB,Starter,3.75,-33.8,194.5,38.5,87
157,14.01,Jacoby Brissett,QB29,ARI,Starter,12.28,-21.2,199.5,42.5,86
158,14.02,Greg Dulcich,TE27,MIA,Starter,3.58,-35.8,201.0,43.0,86
159,14.03,Calvin Ridley,WR54,TEN,Starter,10.0,17.9,201.5,42.5,98
160,14.04,Tyler Allgeier,RB50,ARI,RB2,3.26,-75.0,142.7,-17.3,82
161,14.05,Woody Marks,RB51,HOU,RB2,3.2,-76.0,149.3,-11.7,82
162,14.06,Matthew Golden,WR55,GB,Reserve,0.3,-124.8,150.7,-11.3,72
163,14.07,Rashid Shaheed,WR56,SEA,Reserve,0.39,-123.5,151.7,-11.3,73
164,14.08,Tre Tucker,WR57,LV,Starter,5.4,-49.8,216.0,52.0,86
